Player	Team	W	L	ERA	G	GS	SV	SVO	IP	H	R	ER	HR	BB	SO	AVG	WHIP
Gibson, K	MIN	13	12	4.47	31	31	0	0	179.1	178	91	89	12	57	107	0.258	1.31
Hutchison, D	TOR	11	13	4.48	32	32	0	0	184.2	173	92	92	23	60	184	0.245	1.26
Wilson, C	LAA	13	10	4.51	31	31	0	0	175.2	169	95	88	17	85	151	0.258	1.45
Verlander, J	DET	15	12	4.54	32	32	0	0	206	223	114	104	18	65	159	0.275	1.4
Burnett, A	PHI	8	18	4.59	34	34	0	0	213.2	205	122	109	20	96	190	0.256	1.41
Kendrick, K	PHI	10	13	4.61	32	32	0	0	199	214	108	102	25	57	121	0.276	1.36
Danks, J	CWS	11	11	4.74	32	32	0	0	193.2	205	106	102	25	74	129	0.269	1.44
Noesi, H	CWS	8	12	4.75	33	27	0	0	172.1	180	98	91	28	56	123	0.271	1.37
Wood, T	CHC	8	13	5.03	31	31	0	0	173.2	190	110	97	20	76	146	0.277	1.53
Lewis, C	TEX	10	14	5.18	29	29	0	0	170.1	211	107	98	25	48	133	0.304	1.52
Buchholz, C	BOS	8	11	5.34	28	28	0	0	170.1	182	108	101	17	54	132	0.273	1.39
