Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	HBP	SF	SO	SB	CS
DeAza, A	CWS	CF	131	524	81	147	29	6	9	50	47	9	1	109	26	12
Dunn, A	CWS	1B	151	539	87	110	19	0	41	96	105	1	4	222	2	1
Konerko, P	CWS	1B	144	533	66	159	22	0	26	75	56	7	2	83	0	0
Pierzynski, A	CWS	C	135	479	68	133	18	4	27	77	28	8	4	78	0	0
Ramirez, A	CWS	SS	158	593	59	157	24	4	9	73	16	4	4	77	20	7
Rios, A	CWS	CF	157	605	93	184	37	8	25	91	26	4	5	92	23	6
Viciedo, D	CWS	RF	147	505	64	129	18	1	25	78	28	6	4	120	0	2
Youkilis, K	CWS	3B	122	438	72	103	15	2	19	60	51	17	3	108	0	0
Boesch, B	DET	RF	132	470	52	113	22	2	12	54	26	5	2	104	6	3
Cabrera, M	DET	3B	161	622	109	205	40	0	44	139	66	3	6	98	4	1
Fielder, P	DET	1B	162	581	83	182	33	1	30	108	85	17	7	84	1	0
Infante, O	DET	2B	149	554	69	152	30	7	12	53	21	1	4	65	17	3
Jackson, A	DET	CF	137	543	103	163	29	10	16	66	67	2	3	134	12	9
Peralta, J	DET	SS	150	531	58	127	32	3	13	63	49	2	2	105	1	2
Young, D	DET	LF	151	574	54	153	27	1	18	74	20	7	7	112	0	2
Altuve, J	HOU	2B	147	576	80	167	34	4	7	37	40	6	4	74	33	11
Butler, B	KC	1B	161	614	72	192	32	1	29	107	54	7	4	111	2	1
Escobar, A	KC	SS	155	605	68	177	30	7	5	52	27	8	0	100	35	5
Francoeur, J	KC	RF	148	561	58	132	26	3	16	49	34	7	1	119	4	7
Gordon, A	KC	LF	161	642	93	189	51	5	14	72	73	3	3	140	10	5
Hosmer, E	KC	1B	152	535	65	124	22	2	14	60	56	2	5	95	16	1
Moustakas, M	KC	3B	149	563	69	136	34	1	20	73	39	7	5	124	5	2
Aybar, E	LAA	SS	141	517	67	150	31	5	8	45	22	5	2	61	20	4
Callaspo, A	LAA	3B	138	457	55	115	20	0	10	53	56	0	4	59	4	3
Hunter, T	LAA	CF	140	534	81	167	24	1	16	92	38	8	3	133	9	1
Kendrick, H	LAA	2B	147	550	57	158	32	3	8	67	29	4	5	115	14	6
Morales, K	LAA	1B	134	484	61	132	26	1	22	73	31	4	3	116	0	1
Pujols, A	LAA	1B	154	607	85	173	50	0	30	105	52	5	6	76	8	1
Trout, M	LAA	CF	139	559	129	182	27	8	30	83	67	6	7	139	49	5
Trumbo, M	LAA	RF	144	544	66	146	19	3	32	95	36	4	2	153	4	5
Ellis, A	LAD	C	133	423	44	114	20	1	13	52	65	7	4	107	0	0
Ethier, A	LAD	RF	149	556	79	158	36	1	20	89	50	9	3	124	2	2
Gonzalez, A	LAD	1B	159	629	75	188	47	1	18	108	42	5	8	110	2	0
Ramirez, H	LAD	3B	157	604	79	155	29	4	24	92	54	6	3	132	21	7
Victorino, S	LAD	LF	154	595	72	152	29	7	11	55	53	6	3	80	39	6
Lee, C	MIA	1B	147	550	53	145	27	1	9	77	58	1	6	49	3	0
Reyes, J	MIA	SS	160	642	86	184	37	12	11	57	63	0	6	56	40	11
Aoki, N	MIL	LF	151	520	81	150	37	4	10	50	43	13	5	55	30	8
Braun, R	MIL	LF	154	598	108	191	36	3	41	112	63	11	5	128	30	7
Hart, C	MIL	RF	149	562	91	152	35	4	30	83	44	11	3	151	5	0
Ramirez, A	MIL	3B	149	570	92	171	50	3	27	105	44	12	4	82	9	2
Weeks, R	MIL	2B	157	588	85	135	29	4	21	63	74	13	2	169	16	3
Carroll, J	MIN	SS	138	470	65	126	18	1	1	40	52	4	4	65	9	5
Doumit, R	MIN	C	134	484	56	133	34	1	18	75	29	7	8	98	0	0
Mauer, J	MIN	C	147	545	81	174	31	4	10	85	90	2	3	88	8	4
Morneau, J	MIN	1B	134	505	63	135	26	2	19	77	49	6	10	102	1	0
Revere, B	MIN	RF	124	511	70	150	13	6	0	32	29	3	4	54	40	9
Span, D	MIN	CF	128	516	71	146	38	4	4	41	47	0	1	62	17	6
Willingham, J	MIN	LF	145	519	85	135	30	1	35	110	76	14	6	141	3	2
Davis, I	NYM	1B	156	519	66	118	26	0	32	90	61	1	3	141	0	2
Murphy, D	NYM	2B	156	571	62	166	40	3	6	65	36	1	4	82	10	2
Wright, D	NYM	3B	156	581	91	178	41	2	21	93	81	3	5	112	15	10
Cano, R	NYY	2B	161	627	105	196	48	1	33	94	61	7	2	96	3	2
Granderson, C	NYY	CF	160	596	102	138	18	4	43	106	75	5	7	195	10	3
Jeter, D	NYY	SS	159	683	99	216	32	0	15	58	45	5	1	90	9	4
Rodriguez, A	NYY	3B	122	463	74	126	17	1	18	57	51	10	5	116	13	1
Suzuki, I	NYY	RF	162	629	77	178	28	6	9	55	22	2	5	61	29	7
Swisher, N	NYY	RF	148	537	75	146	36	0	24	93	77	4	5	141	2	3
Teixeira, M	NYY	1B	123	451	66	113	27	1	24	84	54	7	12	83	2	1
Cespedes, Y	OAK	CF	129	487	70	142	25	5	23	82	43	7	3	102	16	4
Crisp, C	OAK	LF	120	455	68	118	25	7	11	46	45	0	2	64	39	4
Reddick, J	OAK	RF	156	611	85	148	29	5	32	85	55	2	4	151	11	1
Weeks, J	OAK	2B	118	444	54	98	15	8	2	20	50	5	3	70	16	5
Rollins, J	PHI	SS	156	632	102	158	33	5	23	68	62	0	3	96	30	5
Alvarez, P	PIT	3B	149	525	64	128	25	1	30	85	57	1	3	180	1	0
Jones, G	PIT	RF	145	475	68	130	28	3	27	86	33	0	7	103	2	0
McCutchen, A	PIT	CF	157	593	107	194	29	6	31	96	70	5	5	132	20	12
Walker, N	PIT	2B	129	472	62	132	27	0	14	69	47	2	8	104	7	5
Alonso, Y	SD	1B	155	549	47	150	39	0	9	62	62	3	4	101	3	0
Headley, C	SD	3B	161	604	95	173	31	2	31	115	86	4	5	157	17	6
Maybin, C	SD	CF	147	507	67	123	20	5	8	45	44	4	3	110	26	7
Ackley, D	SEA	2B	153	607	84	137	22	2	12	50	59	0	1	124	13	3
Montero, J	SEA	C	135	515	46	134	20	0	15	62	29	2	7	99	0	2
Saunders, M	SEA	CF	139	507	71	125	31	3	19	57	43	1	1	132	21	4
Seager, K	SEA	3B	155	594	62	154	35	1	20	86	46	5	4	110	13	5
Smoak, J	SEA	1B	132	483	49	105	14	0	19	51	49	1	2	111	1	0
Pagan, A	SF	CF	154	605	95	174	38	15	8	56	48	0	4	97	29	7
Pence, H	SF	RF	160	617	87	156	26	4	24	104	56	7	7	145	5	2
Posey, B	SF	C	148	530	78	178	39	1	24	103	69	2	9	96	1	1
Scutaro, M	SF	2B	156	620	87	190	32	4	7	74	40	4	9	49	9	4
Beltran, C	STL	RF	151	547	83	147	26	1	32	97	65	2	4	124	13	6
Craig, A	STL	RF	119	469	76	144	35	0	22	92	37	1	7	89	2	1
Freese, D	STL	3B	144	501	70	147	25	1	20	79	57	7	2	122	3	3
Furcal, R	STL	SS	121	477	69	126	18	3	5	49	44	1	4	57	12	4
Holliday, M	STL	LF	157	599	95	177	36	2	27	102	75	9	5	132	4	4
Jay, J	STL	CF	117	443	70	135	22	4	4	40	34	15	1	71	19	7
Molina, Y	STL	C	138	505	65	159	28	0	22	76	45	5	5	55	12	3
Jennings, D	TB	LF	132	505	85	124	19	7	13	47	46	5	1	120	31	2
Pena, C	TB	1B	160	497	72	98	17	2	19	61	87	13	3	182	2	3
Upton, B	TB	CF	146	573	79	141	29	3	28	78	45	1	8	169	31	6
Zobrist, B	TB	RF	157	560	88	151	39	7	20	74	97	3	6	103	14	9
Andrus, E	TEX	SS	158	629	85	180	31	9	3	62	57	5	3	96	21	10
Beltre, A	TEX	3B	156	604	95	194	33	2	36	102	36	5	9	82	1	0
Cruz, N	TEX	RF	159	585	86	152	45	0	24	90	48	5	4	140	8	4
Hamilton, J	TEX	LF	148	562	103	160	31	2	43	128	60	0	0	162	7	4
Kinsler, I	TEX	2B	157	655	105	168	42	5	19	72	60	10	5	90	21	9
Murphy, D	TEX	LF	147	457	65	139	29	3	15	61	54	4	4	74	10	5
Young, M	TEX	1B	156	611	79	169	27	3	8	67	33	1	6	70	2	2
Escobar, Y	TOR	SS	145	558	58	141	22	1	9	51	35	4	4	70	5	1
Johnson, K	TOR	2B	142	507	61	114	19	2	16	55	62	5	4	159	14	2
Lawrie, B	TOR	3B	125	494	73	135	26	3	11	48	33	5	2	86	13	8
Rasmus, C	TOR	CF	151	565	75	126	21	5	23	75	47	7	4	149	4	3
Desmond, I	WSH	SS	130	513	72	150	33	2	25	73	30	3	1	113	21	6
Espinosa, D	WSH	2B	160	594	82	147	37	2	17	56	46	13	2	189	20	6
Harper, B	WSH	LF	139	533	98	144	26	9	22	59	56	2	3	120	18	6
LaRoche, A	WSH	1B	154	571	76	155	35	1	33	100	67	0	9	138	1	1
Zimmerman, R	WSH	3B	145	578	93	163	36	1	25	95	57	2	4	116	5	2
